first_name,last_name,email,ssn,risk_level
Peter,Gonzalez,pgonzalez@strawbridge.com,234-38-0587,HIGH
Ann,Wilson,awilson@strawbridge.com,850-05-1512,HIGH
Holly,Hill,hhill@strawbridge.com,290-47-4298,HIGH
Destiny,Valenzuela,dvalenzuela@strawbridge.com,653-22-6983,LOW
Valerie,Martinez,vmartinez@strawbridge.com,694-24-3904,LOW
Heather,Alvarez,halvarez@strawbridge.com,785-10-0800,HIGH
Christopher,Monroe,cmonroe@strawbridge.com,768-92-7856,MEDIUM
Shawn,Murray,smurray@strawbridge.com,898-62-4282,HIGH
Stacey,Walker,swalker@strawbridge.com,767-58-7962,HIGH
Francisco,Simpson,fsimpson@strawbridge.com,183-76-3221,LOW
Pedro,Edwards,pedwards@strawbridge.com,426-46-7490,HIGH
Nicole,Butler,nbutler@strawbridge.com,575-74-1051,HIGH
Laura,Clay,lclay@strawbridge.com,063-69-1139,HIGH
Matthew,Jones,mjones@strawbridge.com,326-82-6654,LOW
Keith,Tyler,ktyler@strawbridge.com,493-85-8943,LOW
David,Ray,dray@strawbridge.com,858-68-5775,LOW
Victor,Waters,vwaters@strawbridge.com,782-58-2190,HIGH
Suzanne,Howard,showard@strawbridge.com,363-05-1121,LOW
Heather,Fritz,hfritz@strawbridge.com,675-51-0079,HIGH
Amy,Morales,amorales@strawbridge.com,127-59-1775,MEDIUM
Gregory,Rios,grios@strawbridge.com,818-98-4209,LOW
Craig,Weiss,cweiss@strawbridge.com,025-04-1413,HIGH
Martha,Hodges,mhodges@strawbridge.com,720-09-8682,LOW
Kyle,Moore,kmoore@strawbridge.com,516-96-5552,MEDIUM
Troy,Harris,tharris@strawbridge.com,059-19-2550,LOW
Joseph,Hartman,jhartman@strawbridge.com,086-29-8898,LOW
Dawn,Russell,drussell@strawbridge.com,041-87-4810,HIGH
Maria,Hoffman,mhoffman@strawbridge.com,084-45-2297,LOW
Donald,Myers,dmyers@strawbridge.com,533-10-4337,HIGH
Sarah,Hammond,shammond@strawbridge.com,056-34-7797,LOW
Tara,Kramer,tkramer@strawbridge.com,711-25-8234,LOW
Mallory,Reynolds,mreynolds@strawbridge.com,288-09-7242,HIGH
Jonathan,Johnson,jjohnson@strawbridge.com,691-93-3509,HIGH
Susan,Marquez,smarquez@strawbridge.com,469-37-4947,HIGH
Roy,West,rwest@strawbridge.com,520-91-1171,HIGH
Tammy,Johnson,tjohnson@strawbridge.com,617-54-6956,LOW
Lauren,Owens,lowens@strawbridge.com,883-13-4616,LOW
Heather,Rosales,hrosales@strawbridge.com,174-71-9330,LOW
Alan,Henry,ahenry@strawbridge.com,683-95-2414,LOW
Elizabeth,Gomez,egomez@strawbridge.com,272-56-0029,LOW
Aaron,Butler,abutler@strawbridge.com,163-86-3527,LOW
James,Anderson,janderson@strawbridge.com,660-18-0338,LOW
Logan,Hammond,lhammond@strawbridge.com,280-83-7963,LOW
Deanna,Rollins,drollins@strawbridge.com,374-02-7763,LOW
Michael,Butler,mbutler@strawbridge.com,659-51-3675,MEDIUM
Derek,Brooks,dbrooks@strawbridge.com,023-22-4360,HIGH
Jacob,Garcia,jgarcia@strawbridge.com,103-59-9374,LOW
Brian,Thomas,bthomas@strawbridge.com,246-67-4401,MEDIUM
Steven,Hernandez,shernandez@strawbridge.com,002-62-3132,LOW
Dawn,Erickson,derickson@strawbridge.com,862-96-8430,HIGH
